timestamp,sample_id,scenario,mode,current_fps,average_fps,estimated_frames_total,rtt_ms,error_rate_pct,cpu_load,ram_usage,gpu_load,gpu_temp,frame_latency_ms,deepstream_alive
2026-05-21 10:47:55,1,ideal,LOCAL,0.0,0.0,0,0.54,0.0,33.33,80.51,16.0,43.5,-1.0,1
2026-05-21 10:47:57,2,ideal,LOCAL,0.0,0.0,0,0.47,0.0,19.67,83.22,98.3,49.0,-1.0,1
2026-05-21 10:47:59,3,ideal,LOCAL,0.0,0.0,0,0.59,0.0,23.73,83.25,98.9,51.5,-1.0,1
2026-05-21 10:48:01,4,ideal,LOCAL,26.77,26.75,133,0.54,0.0,20.34,83.31,98.3,51.5,37.36,1
2026-05-21 10:48:03,5,ideal,LOCAL,26.77,26.75,133,0.56,0.0,18.64,83.36,98.1,52.0,37.36,1
2026-05-21 10:48:05,6,ideal,LOCAL,26.77,26.75,133,0.53,0.0,17.24,83.32,98.3,52.0,37.36,1
2026-05-21 10:48:07,7,ideal,LOCAL,26.97,26.78,267,0.55,0.0,23.33,83.34,98.4,52.5,37.08,1
2026-05-21 10:48:09,8,ideal,LOCAL,26.97,26.78,267,0.54,0.0,20.97,83.33,98.3,53.0,37.08,1
2026-05-21 10:48:11,9,ideal,LOCAL,26.93,26.86,401,0.54,0.0,27.87,83.33,98.2,53.5,37.13,1
2026-05-21 10:48:13,10,ideal,LOCAL,26.93,26.86,401,0.54,0.0,19.67,83.34,98.6,53.5,37.13,1
2026-05-21 10:51:01,1,ideal,LOCAL,25.1,17.32,0,105.61,0.0,17.54,83.0,98.4,49.5,39.84,1
2026-05-21 10:51:03,2,ideal,LOCAL,25.1,17.32,0,75.23,0.0,21.05,82.84,98.1,51.5,39.84,1
2026-05-21 10:51:05,3,ideal,LOCAL,25.1,17.32,0,79.58,0.0,20.0,80.79,0.0,47.5,39.84,1
2026-05-21 11:03:16,1,ideal,LOCAL,0.0,0.0,0,0.56,0.0,25.42,83.79,98.3,46.0,-1.0,1
2026-05-21 11:03:18,2,ideal,LOCAL,0.0,0.0,0,0.52,0.0,23.33,83.82,98.1,48.0,-1.0,1
2026-05-21 11:03:20,3,ideal,LOCAL,0.0,0.0,0,0.56,0.0,21.05,83.83,98.7,48.5,-1.0,1
2026-05-21 11:03:22,4,ideal,LOCAL,26.51,26.46,132,0.57,0.0,25.81,83.83,98.8,49.0,37.72,1
2026-05-21 11:03:24,5,ideal,LOCAL,26.51,26.46,132,0.55,0.0,20.34,83.95,98.2,49.5,37.72,1
2026-05-21 11:03:26,6,ideal,LOCAL,26.77,26.53,265,0.52,0.0,21.31,83.65,98.6,50.0,37.36,1
2026-05-21 11:03:28,7,ideal,LOCAL,26.77,26.53,265,0.54,0.0,26.98,83.76,98.5,50.0,37.36,1
2026-05-21 11:03:30,8,ideal,LOCAL,26.77,26.53,265,25.23,0.0,23.33,83.67,98.4,50.5,37.36,1
2026-05-21 11:03:32,9,ideal,LOCAL,26.62,26.62,398,38.96,0.0,42.62,83.69,98.6,50.5,37.57,1
2026-05-21 11:03:34,10,ideal,LOCAL,26.62,26.62,398,38.39,0.0,25.42,83.78,98.8,50.5,37.57,1
2026-05-21 11:03:36,11,ideal,LOCAL,26.77,26.67,531,0.56,0.0,22.95,83.78,98.4,51.0,37.36,1
2026-05-21 11:03:38,12,ideal,LOCAL,26.77,26.67,531,0.56,0.0,25.81,83.79,98.2,51.5,37.36,1
2026-05-21 11:03:40,13,ideal,LOCAL,26.77,26.67,531,0.58,0.0,24.59,83.71,98.8,51.5,37.36,1
2026-05-21 11:03:42,14,ideal,LOCAL,26.63,26.65,664,0.57,0.0,22.41,83.84,98.7,52.0,37.55,1
2026-05-21 11:03:44,15,ideal,LOCAL,26.63,26.65,664,0.54,0.0,24.19,83.75,98.3,52.0,37.55,1
2026-05-21 11:03:46,16,ideal,LOCAL,26.79,26.64,797,0.54,0.0,23.73,83.86,98.6,51.5,37.33,1
2026-05-21 11:03:48,17,ideal,LOCAL,26.79,26.64,797,0.59,0.0,29.03,83.77,98.4,52.0,37.33,1
2026-05-21 11:03:50,18,ideal,LOCAL,26.79,26.64,797,0.54,0.0,22.03,83.87,98.4,52.5,37.33,1
2026-05-21 11:03:52,19,ideal,LOCAL,26.76,26.69,930,0.54,0.0,24.59,83.81,98.9,52.5,37.37,1
2026-05-21 11:03:54,20,ideal,LOCAL,26.76,26.69,930,0.56,0.0,21.67,83.92,98.6,53.0,37.37,1
2026-05-21 11:03:56,21,ideal,LOCAL,26.58,26.66,1062,0.55,0.0,17.54,83.83,98.7,52.5,37.62,1
2026-05-21 11:03:58,22,ideal,LOCAL,26.58,26.66,1062,0.51,0.0,33.33,83.95,98.3,53.0,37.62,1
2026-05-21 11:04:00,23,ideal,LOCAL,26.58,26.66,1062,0.61,0.0,32.79,84.15,98.0,53.0,37.62,1
2026-05-21 11:04:02,24,ideal,LOCAL,26.43,26.65,1194,0.52,0.0,26.67,84.52,98.4,53.5,37.84,1
2026-05-21 11:04:04,25,ideal,LOCAL,26.43,26.65,1194,0.59,0.0,66.13,84.61,98.6,53.5,37.84,1
2026-05-21 11:04:06,26,ideal,LOCAL,26.36,26.6,1325,0.48,0.0,33.33,84.43,98.5,53.5,37.94,1
