frame,timestamp,grpc_ms,frame_kb,detections,fps
1,2.793,2753.4,14.1,0,0.36
2,5.328,2508.5,14.1,0,0.40
3,10.190,4835.6,14.0,0,0.21
4,12.792,2576.7,13.9,0,0.39
5,15.268,2449.3,13.8,0,0.41
6,17.892,2597.3,13.6,0,0.39
7,20.382,2463.5,13.5,0,0.41
8,22.973,2564.0,13.6,0,0.39
9,25.465,2463.4,13.6,0,0.41
10,27.988,2495.9,13.6,0,0.40
11,30.485,2468.2,13.8,0,0.41
12,33.070,2556.7,13.9,0,0.39
13,35.550,2454.9,13.9,0,0.41
14,38.078,2498.5,14.0,0,0.40
15,40.566,2457.2,14.3,0,0.41
16,43.162,2566.3,14.6,1,0.39
17,45.645,2454.2,14.3,1,0.41
18,48.197,2523.7,14.6,1,0.40
19,50.679,2453.3,14.8,1,0.41
20,53.172,2464.0,14.9,1,0.41
21,55.697,2493.5,15.2,1,0.40
22,58.276,2549.2,14.4,1,0.39
23,60.765,2459.7,14.3,1,0.41
24,63.258,2465.3,14.4,1,0.41
25,65.807,2523.0,14.4,1,0.40
26,68.337,2499.5,14.5,1,0.40
27,70.825,2459.3,14.5,1,0.41
28,73.312,2459.0,15.0,1,0.41
29,75.898,2558.3,14.8,1,0.39
30,78.426,2499.7,14.7,1,0.40
31,80.917,2462.0,14.9,1,0.41
32,83.407,2462.4,14.9,1,0.41
33,85.993,2558.1,15.2,1,0.39
34,88.518,2497.4,15.4,1,0.40
35,91.011,2464.1,15.6,1,0.41
36,93.495,2456.1,14.8,1,0.41
37,96.088,2565.6,14.6,1,0.39
38,98.625,2507.4,14.7,1,0.40
39,101.127,2474.1,14.7,1,0.40
40,103.625,2469.6,14.6,1,0.40
41,106.227,2572.5,14.6,1,0.39
42,108.754,2494.8,14.5,1,0.40
43,111.246,2459.6,14.6,1,0.41
44,113.733,2458.7,14.6,2,0.41
45,116.307,2546.2,14.6,1,0.39
46,118.828,2492.4,15.0,1,0.40
47,121.304,2449.4,15.0,1,0.41
48,123.802,2471.4,15.2,1,0.40
49,126.285,2456.5,15.5,1,0.41
50,128.901,2586.9,15.6,1,0.39
51,131.401,2471.5,14.8,1,0.40
52,133.896,2466.5,14.7,1,0.41
53,136.416,2490.1,14.7,1,0.40
54,139.043,2598.0,14.7,1,0.38
55,141.540,2461.9,14.6,1,0.41
56,144.037,2469.2,14.6,1,0.40
57,146.527,2458.8,14.7,1,0.41
58,149.151,2596.2,14.7,1,0.39
59,151.639,2456.9,14.7,1,0.41
60,154.140,2468.1,14.7,1,0.41
61,156.622,2456.6,15.3,1,0.41
62,159.256,2605.2,15.1,1,0.38
63,161.753,2470.9,15.1,1,0.40
64,164.240,2460.7,15.0,1,0.41
65,166.714,2448.3,14.8,1,0.41
66,169.351,2608.4,14.7,1,0.38
67,171.848,2470.9,14.5,1,0.40
68,174.342,2465.1,14.3,1,0.41
69,177.636,3265.4,14.2,1,0.31
70,181.717,4051.3,14.3,1,0.25
71,184.210,2465.6,14.3,1,0.41
72,186.696,2453.9,14.5,1,0.41
73,189.196,2474.8,14.4,1,0.40
74,191.774,2549.2,14.4,1,0.39
75,194.272,2468.9,14.4,1,0.41
76,196.753,2451.3,14.9,1,0.41
77,199.247,2466.0,15.0,1,0.41
78,201.884,2608.8,15.2,1,0.38
79,204.375,2461.0,14.6,1,0.41
80,206.867,2464.2,14.6,1,0.41
81,209.357,2461.2,14.5,1,0.41
82,211.990,2604.8,14.4,1,0.38
83,214.483,2466.0,14.4,1,0.41
84,216.980,2469.5,14.5,1,0.40
85,219.466,2459.0,14.4,0,0.41
86,222.096,2601.4,14.6,0,0.38
87,224.594,2468.6,14.5,0,0.41
88,227.075,2453.3,14.4,0,0.41
89,229.562,2459.1,14.4,0,0.41
90,232.192,2602.3,14.5,0,0.38
91,234.672,2452.1,14.8,0,0.41
92,237.150,2448.6,14.7,0,0.41
93,239.642,2462.4,15.0,0,0.41
94,242.268,2599.2,15.2,0,0.38
95,244.758,2459.8,15.3,0,0.41
96,247.235,2446.0,14.3,0,0.41
97,249.715,2455.5,14.1,0,0.41
98,252.311,2565.0,14.2,0,0.39
99,254.793,2453.5,14.3,0,0.41
100,257.267,2446.2,14.3,0,0.41
101,259.743,2449.1,14.4,0,0.41
102,262.265,2492.9,14.4,0,0.40
103,264.862,2542.8,14.1,0,0.39
104,267.347,2443.8,14.3,0,0.41
105,269.819,2443.4,14.2,0,0.41
106,272.344,2497.1,14.3,0,0.40
107,274.926,2552.9,14.5,0,0.39
108,277.408,2454.4,14.4,0,0.41
109,279.879,2445.0,14.7,0,0.41
110,282.400,2491.1,14.8,0,0.40
111,285.015,2564.3,14.7,0,0.39
112,287.566,2489.4,14.7,0,0.40
113,290.236,2626.7,13.9,0,0.38
114,292.764,2499.0,13.8,0,0.40
115,295.346,2553.1,13.5,0,0.39
116,297.819,2444.0,13.5,0,0.41
117,300.296,2447.5,13.5,0,0.41
118,302.839,2509.1,13.5,0,0.40
119,305.414,2546.5,13.5,0,0.39
120,307.893,2452.3,13.4,0,0.41
121,310.370,2447.9,14.5,0,0.41
122,312.900,2499.1,14.1,0,0.40
123,315.473,2544.4,13.9,0,0.39
124,317.962,2462.6,13.7,0,0.41
125,320.440,2450.4,13.5,0,0.41
126,322.927,2458.7,13.3,0,0.41
127,325.536,2580.9,13.3,0,0.39
128,328.013,2451.9,13.3,0,0.41
129,330.490,2449.6,13.3,0,0.41
130,332.975,2457.6,13.3,0,0.41
131,335.498,2493.3,13.2,0,0.40
132,338.050,2522.3,13.3,0,0.40
133,340.523,2447.4,13.3,0,0.41
134,343.014,2460.9,13.2,0,0.41
135,345.543,2499.1,13.3,0,0.40
136,348.193,2620.5,13.3,0,0.38
137,350.675,2451.0,13.3,0,0.41
138,353.159,2457.1,13.3,0,0.41
139,355.678,2491.6,13.2,0,0.40
140,358.258,2550.4,13.3,0,0.39
141,360.739,2450.5,13.4,0,0.41
142,363.229,2461.6,13.4,0,0.41
143,365.751,2492.5,13.3,0,0.40
144,368.341,2561.7,13.2,0,0.39
145,370.819,2450.8,13.3,0,0.41
146,373.307,2458.4,13.2,0,0.41
147,375.831,2493.3,13.3,0,0.40
148,378.409,2551.3,13.4,0,0.39
149,380.887,2450.5,13.5,0,0.41
150,383.380,2464.7,13.7,0,0.41
151,385.895,2485.2,14.1,0,0.40
152,388.418,2486.7,14.3,0,0.40
153,390.914,2467.2,14.6,0,0.41
154,393.395,2452.7,14.3,0,0.41
155,395.908,2483.7,14.3,0,0.40
156,398.386,2447.6,14.4,0,0.41
157,400.957,2543.6,14.3,0,0.39
158,403.451,2464.2,14.3,0,0.41
159,405.964,2482.5,14.4,0,0.40
160,408.457,2449.7,14.5,0,0.41
161,411.046,2552.4,14.5,0,0.39
162,413.521,2446.7,14.6,0,0.41
163,416.035,2483.5,14.4,0,0.40
164,418.584,2520.5,14.6,0,0.40
165,421.160,2546.1,14.6,0,0.39
166,423.644,2454.6,15.0,0,0.41
167,426.135,2458.6,14.4,0,0.41
168,428.671,2502.2,14.4,0,0.40
169,431.241,2542.9,14.3,0,0.39
170,433.728,2454.3,14.0,0,0.41
171,436.211,2451.0,14.6,1,0.41
172,438.734,2492.2,14.5,0,0.40
173,441.321,2551.4,15.4,1,0.39
174,443.809,2457.2,15.6,0,0.41
175,446.295,2452.4,15.7,0,0.41
176,448.845,2516.9,15.6,0,0.40
177,451.424,2545.9,15.8,0,0.39
178,453.903,2448.6,16.0,0,0.41
179,456.377,2441.6,16.3,0,0.41
180,458.909,2502.5,16.3,0,0.40
181,461.476,2541.5,17.3,0,0.39
182,464.628,3124.5,17.3,0,0.32
183,467.110,2454.6,17.4,1,0.41
184,469.624,2484.7,17.4,1,0.40
185,472.099,2441.7,16.9,1,0.41
186,474.689,2551.9,16.3,1,0.39
187,477.162,2437.2,16.2,1,0.41
188,479.690,2495.3,16.4,1,0.40
189,482.198,2473.5,16.6,1,0.40
190,484.670,2435.7,16.6,1,0.41
191,487.159,2454.6,16.7,1,0.41
192,489.638,2444.8,16.6,1,0.41
193,492.119,2452.7,16.5,1,0.41
194,494.593,2443.3,16.4,1,0.41
195,497.100,2477.8,16.3,1,0.40
196,499.573,2443.1,16.2,1,0.41
197,502.041,2439.0,16.3,1,0.41
198,504.507,2436.4,16.3,1,0.41
199,506.992,2455.3,16.3,1,0.41
200,509.474,2453.7,16.2,1,0.41
201,511.959,2455.8,16.2,1,0.41
202,514.427,2437.8,16.2,1,0.41
203,516.919,2462.0,16.3,1,0.41
204,519.410,2442.6,16.4,1,0.41
205,521.901,2459.6,16.4,1,0.41
206,524.367,2435.2,16.3,1,0.41
207,526.874,2474.9,16.3,1,0.40
208,529.356,2446.1,16.4,1,0.41
209,531.843,2452.4,16.3,1,0.41
210,534.328,2450.7,16.4,1,0.41
211,536.831,2467.6,16.0,1,0.41
212,539.326,2463.9,16.0,1,0.41
213,541.840,2483.0,16.0,1,0.40
214,544.323,2454.1,15.9,1,0.41
215,546.823,2471.2,15.8,1,0.40
216,549.305,2452.0,15.8,1,0.41
217,551.954,2621.6,15.6,1,0.38
218,554.435,2449.6,15.5,1,0.41
219,556.914,2447.3,15.4,1,0.41
220,559.395,2449.8,15.3,1,0.41
221,562.028,2603.9,15.2,1,0.38
222,564.520,2460.8,15.3,1,0.41
223,567.004,2452.8,15.2,1,0.41
224,569.535,2501.0,15.2,1,0.40
225,572.203,2637.1,15.3,1,0.38
226,574.702,2440.2,15.0,1,0.41
227,577.175,2443.5,15.0,1,0.41
228,579.647,2440.8,14.9,1,0.41
229,582.132,2458.6,14.8,1,0.41
230,584.665,2503.2,14.8,1,0.40
231,587.136,2439.3,14.9,1,0.41
232,589.612,2447.8,14.8,0,0.41
233,592.079,2436.7,14.8,1,0.41
234,594.543,2434.2,14.9,0,0.41
235,597.014,2442.5,14.8,0,0.41
236,599.486,2441.3,14.8,0,0.41
237,601.961,2444.2,15.2,0,0.41
238,604.433,2440.8,14.7,0,0.41
239,606.906,2441.3,14.6,0,0.41
240,609.372,2438.2,14.5,0,0.41
241,611.838,2440.8,15.2,0,0.41
242,614.309,2442.7,15.1,0,0.41
243,616.784,2447.1,15.0,0,0.41
244,619.269,2453.6,14.5,0,0.41
245,621.757,2436.3,14.0,0,0.41
246,624.231,2440.5,13.8,0,0.41
247,626.690,2431.2,13.6,0,0.41
248,629.158,2438.7,13.6,0,0.41
249,633.723,4535.7,13.7,0,0.22
250,636.387,2634.0,14.0,0,0.38
251,638.861,2443.6,14.2,0,0.41
252,641.383,2491.7,14.4,0,0.40
253,643.893,2484.9,14.4,0,0.40
254,646.471,2547.6,14.4,0,0.39
255,648.971,2471.5,14.5,0,0.40
256,651.446,2445.1,14.7,0,0.41
257,653.943,2466.1,14.6,0,0.41
258,656.419,2443.9,15.2,0,0.41
259,658.901,2452.4,15.5,0,0.41
260,661.382,2447.2,15.6,0,0.41
261,663.866,2452.9,15.8,0,0.41
262,666.343,2446.1,14.5,0,0.41
263,668.823,2449.7,14.5,0,0.41
264,671.303,2452.4,14.5,0,0.41
265,673.786,2456.1,14.5,0,0.41
266,676.267,2451.6,14.4,0,0.41
267,678.762,2467.1,14.4,0,0.41
268,681.233,2444.2,14.4,0,0.41
269,683.718,2456.0,14.4,0,0.41
270,686.190,2446.7,14.4,0,0.41
271,688.676,2457.4,14.4,0,0.41
272,691.149,2443.9,14.1,0,0.41
273,693.632,2454.5,14.7,0,0.41
