timestamp,event,reason,rtt_ms,bandwidth_kbps,error_rate_pct,inference_ms,consecutive_errors,recovery_polls
2026-05-20 12:32:32,LOCKED,cloud_infer failed 3x consecutively,47.56,137.79,0.00,0.00,3,
2026-05-20 12:32:42,RECOVERED,cloud_infer failed 3x consecutively,82.31,200.29,0.00,0.00,,5
2026-05-20 12:33:37,LOCKED,cloud_infer failed 3x consecutively,64.80,91.73,0.00,0.00,3,
2026-05-20 12:33:50,RECOVERED,cloud_infer failed 3x consecutively,166.68,208.53,0.00,0.00,,5
2026-05-20 12:35:05,LOCKED,cloud_infer failed 3x consecutively,64.28,126.83,0.00,0.00,3,
2026-05-20 12:35:14,RECOVERED,cloud_infer failed 3x consecutively,74.61,139.93,0.00,0.00,,5
2026-05-20 15:00:07,LOCKED,cloud_infer failed 3x consecutively,41.48,183.20,0.00,0.00,3,
2026-05-20 15:00:15,RECOVERED,cloud_infer failed 3x consecutively,0.51,7163.63,0.00,0.00,,5
2026-05-20 15:02:42,LOCKED,cloud_infer failed 3x consecutively,40.83,176.28,0.00,0.00,3,
2026-05-20 15:03:04,RECOVERED,cloud_infer failed 3x consecutively,37.48,160.16,0.00,0.00,,5
2026-05-20 15:03:43,LOCKED,cloud_infer failed 3x consecutively,70.88,201.64,0.00,0.00,3,
2026-05-20 15:03:53,RECOVERED,cloud_infer failed 3x consecutively,37.08,179.73,0.00,0.00,,5
2026-05-20 15:07:00,LOCKED,cloud_infer failed 3x consecutively,42.36,296.27,0.00,0.00,3,
2026-05-20 15:07:09,RECOVERED,cloud_infer failed 3x consecutively,0.51,7284.94,0.00,0.00,,5
2026-05-20 15:07:47,LOCKED,cloud_infer failed 3x consecutively,40.48,166.13,0.00,0.00,3,
2026-05-20 15:07:57,RECOVERED,cloud_infer failed 3x consecutively,0.52,6627.38,0.00,0.00,,5
2026-05-20 15:09:39,LOCKED,cloud_infer failed 3x consecutively,35.76,207.92,25.00,0.00,3,
2026-05-20 15:09:52,RECOVERED,cloud_infer failed 3x consecutively,19.17,170.27,0.00,0.00,,5
2026-05-20 15:10:29,LOCKED,cloud_infer failed 3x consecutively,81.73,182.49,0.00,0.00,3,
2026-05-20 15:10:38,RECOVERED,cloud_infer failed 3x consecutively,0.68,3994.58,0.00,0.00,,5
2026-05-20 15:11:28,LOCKED,cloud_infer failed 3x consecutively,40.64,203.99,0.00,0.00,3,
2026-05-20 15:11:37,RECOVERED,cloud_infer failed 3x consecutively,0.49,7941.88,0.00,0.00,,5
2026-05-20 15:12:14,LOCKED,cloud_infer failed 3x consecutively,38.95,156.39,0.00,0.00,3,
2026-05-20 15:12:24,RECOVERED,cloud_infer failed 3x consecutively,0.55,6610.41,0.00,0.00,,5
2026-05-20 15:13:02,LOCKED,cloud_infer failed 3x consecutively,42.05,180.54,0.00,0.00,3,
2026-05-20 15:13:17,RECOVERED,cloud_infer failed 3x consecutively,0.52,415.74,0.00,0.00,,5
2026-05-20 15:13:53,LOCKED,cloud_infer failed 3x consecutively,40.87,285.58,0.00,0.00,3,
